"Job Title",Company,Location,URL
"Clean Code Developer Advocate",Sonar,"Austin, TX   (+2 others)",https://jobs.lever.co/sonarsource/21f090dc-2ab8-45ac-998d-0720dfa47fce?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Mid-Level - Full Stack Developer",Vitol,"Geneva, Switzerland",https://jobs.smartrecruiters.com/Vitol/743999989397120-mid-level-full-stack-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Senior Firmware Developer (F/H) 100%",CSEM,"Bern, Switzerland",https://www.csem.ch/en/jobs/158103/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"[NDK] Web Developer","Nidecker Group","Rolle, Switzerland",https://join.com/companies/nidecker/11153236-ndk-web-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Senior Microsoft Dynamics 365 Engineer",Luxoft,"Zürich, Switzerland",https://career.luxoft.com/jobs/senior-microsoft-dynamics-365-engineer-5519?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Clean Code Developer Advocate",Sonar,Switzerland,https://builtin.com/job/clean-code-developer-advocate/2706935?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Software Development Engineer",Adobe,"Basel, Switzerland",https://careers.adobe.com/us/en/job/R145305/Software-Development-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Front-end Developer","Exeon Analytics","Zurich, Switzerland",https://ch.indeed.com/viewjob?jk=de6b0cb5165ff08d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Development Engineer (contract 80-100%)",Roche,"Risch-Rotkreuz, Switzerland",https://careers.roche.com/global/en/job/ROCHGLOBAL202402104044EXTERNALENGLOBAL/Development-Engineer-contract-80-100?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"XR Application Developer","SKAN AG","Allschwil, Switzerland",https://jobs.skan.com/job/Allschwil-XR-Application-Developer/795022402/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
